episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.5909770789999129,True,False
2,490.0,722,1107,0.1,0.023761358978744183,1.8075530779999553,True,False
3,640.0,550,1657,0.1,0.029826039454918286,4.054794880999907,True,False
4,890.0,704,2361,0.1,0.03392861309310485,7.178676881999991,True,False
5,380.0,419,2780,0.1,0.03762589309896742,8.708085483999866,True,False
6,510.0,436,3216,0.1,0.03735305328101535,10.283546532999935,True,False
7,440.0,518,3734,0.1,0.039750939034748564,12.110301102999983,True,False
8,480.0,453,4187,0.1,0.03642795968850234,13.765432358999988,True,False
9,300.0,555,4742,0.1,0.039021286635204024,15.736568792999833,True,False
10,330.0,326,5068,0.1,0.03630662716715029,17.32621775499979,True,False
11,410.0,557,5625,0.1,0.03980814890346403,20.058319775999962,True,False
12,980.0,857,6482,0.1,0.04203022662365252,23.226674052999897,True,False
13,490.0,552,7034,0.1,0.04105713120931624,25.203536120999843,True,False
14,820.0,616,7650,0.1,0.04216993338573579,27.446609603999832,True,False
15,1940.0,1090,8740,0.1,0.038668036475375075,32.01012403599998,True,False
16,1600.0,1011,9751,0.1,0.04182451962408358,35.56208298599995,True,False
17,1360.0,932,10683,0.1,0.03941783309182704,38.7890877819998,True,False
18,510.0,608,11291,0.1,0.03929695069765378,40.97865412299984,True,False
19,1050.0,551,11842,0.1,0.03504360425437841,43.327106608999884,True,False
20,1240.0,757,12599,0.1,0.0388468662424693,46.34237289199996,True,False
21,1240.0,921,13520,0.1,0.04002771670204382,49.57772722299978,True,False
22,960.0,791,14311,0.1,0.03963407737954619,52.44430925199981,True,False
23,2150.0,611,14922,0.1,0.04249536835442425,55.820483852999814,True,False
24,1160.0,1072,15994,0.1,0.04414290566268419,60.419289976999835,True,False
25,410.0,418,16412,0.1,0.04675274123215959,61.99155176599993,True,False
26,450.0,607,17019,0.1,0.04388765750193833,66.19053373099996,True,False
27,720.0,538,17557,0.1,0.04664421506846945,68.44263883299982,True,False
28,250.0,516,18073,0.1,0.04966717346232067,70.80426462899982,True,False
29,420.0,476,18549,0.1,0.047945941148811025,72.581883672,True,False
30,1110.0,793,19342,0.1,0.054949209797243125,75.41250337199995,True,False
31,1600.0,788,20130,0.1,0.05684840870160742,78.23269310899991,True,False
32,650.0,677,20807,0.1,0.0552826560592863,80.88788590699983,True,False
33,790.0,688,21495,0.1,0.060976971298196285,83.9150397259998,True,False
34,460.0,545,22040,0.1,0.06080283395211845,85.91136607699991,True,False
35,550.0,612,22652,0.1,0.06074016246019431,88.07947838099994,True,False
36,1180.0,957,23609,0.1,0.06253714596260354,91.39594346099989,True,False
37,560.0,566,24175,0.1,0.05751293517173605,93.61089404599988,True,False
38,700.0,774,24949,0.1,0.06145360553397115,96.80478281799992,True,False
39,240.0,398,25347,0.1,0.06203776305409694,98.25579595099998,True,False
40,290.0,341,25688,0.1,0.05190395653724324,99.51940668399993,True,False
41,430.0,494,26182,0.1,0.06076430082624036,101.28535158199998,True,False
42,360.0,404,26586,0.1,0.05678256771683988,102.7473135629998,True,False
43,1770.0,816,27402,0.1,0.06551541912132035,105.62883870299993,True,False
44,1890.0,1340,28742,0.1,0.06211405763152375,110.8642047809999,True,False
45,2270.0,869,29611,0.1,0.06578597188648265,113.97863298099992,True,False
46,1530.0,808,30419,0.1,0.0659848410557808,116.75955799199983,True,False
47,490.0,541,30960,0.1,0.06726227880126852,118.90113160299984,True,False
48,440.0,533,31493,0.1,0.06720203738239475,121.3499477119999,True,False
49,1120.0,642,32135,0.1,0.0650715732772369,123.6230726509998,True,False
50,200.0,317,32452,0.1,0.06689423068892211,124.80111936499998,True,False
51,400.0,503,32955,0.1,0.06323193537816406,128.35189533599987,True,False
52,610.0,486,33441,0.1,0.07790930148549989,130.0793951799999,True,False
53,810.0,648,34089,0.1,0.07496573674825975,132.83851790699987,True,False
54,660.0,593,34682,0.1,0.07731824767196903,135.11648635099982,True,False
55,790.0,622,35304,0.1,0.07802680824907163,137.26982577299987,True,False
56,1280.0,894,36198,0.1,0.0790686897407265,140.38721062799982,True,False
57,360.0,541,36739,0.1,0.07175657088281932,142.37228697199998,True,False
58,340.0,527,37266,0.1,0.07316022115815995,144.54369541399979,True,False
59,1280.0,948,38214,0.1,0.07797785696695374,148.19295310099983,True,False
60,660.0,453,38667,0.1,0.07078537107568926,149.82298789799984,True,False
61,790.0,661,39328,0.1,0.07007654256984053,152.17195216799996,True,False
62,420.0,438,39766,0.1,0.06999187463672336,153.7652131729999,True,False
63,460.0,418,40184,0.1,0.08099164421714487,155.28158328199993,True,False
64,620.0,647,40831,0.1,0.08791811383034316,157.9685216659998,True,False
65,1080.0,711,41542,0.1,0.07553433192098576,160.57480161499984,True,False
66,1550.0,1000,42542,0.1,0.07720408999361097,163.97541289399987,True,False
67,520.0,510,43052,0.1,0.08040785633784253,165.81505516499988,True,False
68,350.0,360,43412,0.1,0.07274649497121573,167.12507241899993,True,False
69,1100.0,629,44041,0.1,0.08671078533468068,169.56946937599992,True,False
70,330.0,347,44388,0.1,0.07653531620557281,171.253414776,True,False
71,340.0,453,44841,0.1,0.08559316179129929,172.917205964,True,False
72,800.0,693,45534,0.1,0.08205084107019481,175.3604412499999,True,False
73,850.0,542,46076,0.1,0.07433602705543094,177.31691877599997,True,False
74,810.0,859,46935,0.1,0.08898455444201131,180.26596662999987,True,False
75,1400.0,794,47729,0.1,0.07737639104367126,183.663650125,True,False
76,620.0,525,48254,0.1,0.08706633575289076,187.76518552699986,True,False
77,580.0,625,48879,0.1,0.08123204399807712,189.990934315,True,False
78,840.0,961,49840,0.1,0.09320654994054578,193.3237402589998,True,False
79,670.0,459,50299,0.1,0.08133992612394586,195.39223513899992,True,False
80,310.0,458,50757,0.1,0.08878544471834017,197.340321571,True,False
81,770.0,624,51381,0.1,0.08024846877043064,199.53147268399994,True,False
82,380.0,365,51746,0.1,0.07891042808909993,200.88116012199998,True,False
83,390.0,394,52140,0.1,0.0876514839591703,202.3614154049999,True,False
84,430.0,517,52657,0.1,0.091555698839731,204.21749261699983,True,False
85,600.0,626,53283,0.1,0.09044737373001109,206.53415694299997,True,False
86,270.0,345,53628,0.1,0.0856347812832087,208.2480851989999,True,False
87,370.0,470,54098,0.1,0.08411257281803931,210.1262579339998,True,False
88,860.0,681,54779,0.1,0.08793313854976612,212.5321129749998,True,False
89,360.0,385,55164,0.1,0.08238589567775578,213.96269062299984,True,False
90,600.0,523,55687,0.1,0.09861193898205574,215.81321506899985,True,False
91,540.0,510,56197,0.1,0.09476228077255655,217.60600306399988,True,False
92,680.0,621,56818,0.1,0.10381986798057632,220.06025689299986,True,False
93,330.0,372,57190,0.1,0.10204572026287356,221.79069607999986,True,False
94,490.0,459,57649,0.1,0.1089912015620781,223.43932550699992,True,False
95,200.0,312,57961,0.1,0.1225985316798473,224.62756702399997,True,False
96,710.0,459,58420,0.1,0.11972021860596926,226.313633837,True,False
97,620.0,575,58995,0.1,0.11836016731714452,228.3504187399999,True,False
98,430.0,526,59521,0.1,0.11051511969135115,230.21589624199987,True,False
99,900.0,625,60146,0.1,0.10477673994281735,232.77206107899997,True,False
100,510.0,451,60597,0.1,0.10393801878775115,234.811010119,True,False
101,880.0,725,61322,0.1,0.11599434959542686,239.0209404269999,True,False
102,440.0,495,61817,0.1,0.09568471553164624,240.8102793879998,True,False
103,370.0,452,62269,0.1,0.08949626830563082,242.47107853099988,True,False
104,360.0,392,62661,0.1,0.10677523722834124,243.9448575869999,True,False
105,730.0,702,63363,0.1,0.1052642441487738,247.09639196699982,True,False
106,870.0,719,64082,0.1,0.08305951367235846,249.57746057999998,True,False
107,450.0,401,64483,0.1,0.08866027370095253,251.001282684,True,False
108,540.0,452,64935,0.1,0.10253840135987353,252.60044215499988,True,False
109,740.0,803,65738,0.1,0.10679600240468089,255.36512921999997,True,False
110,420.0,428,66166,0.1,0.10429461119330932,256.99579190199984,True,False
111,500.0,509,66675,0.1,0.09558247952304018,259.317857818,True,False
112,1100.0,830,67505,0.1,0.10416843483779722,262.14143881799987,True,False
113,590.0,531,68036,0.1,0.07316353893313642,264.0135904609999,True,False
114,580.0,535,68571,0.1,0.1037371834894096,265.90237973599983,True,False
115,530.0,656,69227,0.1,0.112129053032798,268.177645343,True,False
116,520.0,465,69692,0.1,0.08217521976584043,270.0131429769999,True,False
117,500.0,441,70133,0.1,0.09457165912979028,272.13386117799996,True,False
118,920.0,565,70698,0.1,0.11337415500154309,274.06875546599986,True,False
119,390.0,443,71141,0.1,0.09959668127467504,275.6646586909999,True,False
120,480.0,414,71555,0.1,0.10601723884928574,277.10760674999983,True,False
121,930.0,660,72215,0.1,0.10152564201165329,279.38918113599993,True,False
122,490.0,459,72674,0.1,0.10666664614463629,281.0137781379999,True,False
123,460.0,454,73128,0.1,0.11379901032175935,282.90871387899983,True,False
124,660.0,606,73734,0.1,0.1289453459965275,285.37889742699986,True,False
125,1150.0,849,74583,0.1,0.12073177502508152,288.22759934099986,True,False
126,970.0,863,75446,0.1,0.12405696573356788,293.04575856299994,True,False
127,1620.0,965,76411,0.1,0.09462838093614924,296.9075592969998,True,False
128,500.0,475,76886,0.1,0.09353285519202717,298.5946524469998,True,False
129,460.0,482,77368,0.1,0.10071085068620433,300.31146170099987,True,False
130,960.0,715,78083,0.1,0.09345623016817851,302.801119879,True,False
131,1310.0,698,78781,0.1,0.0927403070564781,305.23961939499986,True,False
132,470.0,482,79263,0.1,0.1055330927328517,306.9652362239999,True,False
133,430.0,390,79653,0.1,0.09283621087480261,308.8597492409999,True,False
134,1260.0,941,80594,0.1,0.10410014125419424,312.1893833039999,True,False
135,1070.0,699,81293,0.1,0.1045531789213419,314.6253996769999,True,False
136,920.0,738,82031,0.1,0.10497503826880585,317.15441674299996,True,False
137,540.0,578,82609,0.1,0.10484569742633351,319.1810102459999,True,False
138,510.0,580,83189,0.1,0.10581878297801675,321.8318645879999,True,False
139,840.0,598,83787,0.1,0.11045272905854571,323.9243779909998,True,False
140,1310.0,1044,84831,0.1,0.12104407378554459,327.4401719819998,True,False
141,650.0,641,85472,0.1,0.10419692331635803,329.6500393709998,True,False
142,430.0,530,86002,0.1,0.10998313457733302,331.54810000299994,True,False
143,720.0,576,86578,0.1,0.10474158322904259,334.12278624199985,True,False
144,700.0,709,87287,0.1,0.12906356390544588,336.65550811899993,True,False
145,390.0,400,87687,0.1,0.10208854047581553,338.1295198439998,True,False
146,500.0,469,88156,0.1,0.12357631328878767,339.792855164,True,False
147,670.0,531,88687,0.1,0.10216669632460583,341.64631581699996,True,False
148,1560.0,749,89436,0.1,0.10174510523954287,344.205134737,True,False
149,530.0,527,89963,0.1,0.12434498800803687,346.6634791849999,True,False
150,550.0,517,90480,0.1,0.13291932865260886,348.55663315799984,True,False
151,510.0,504,90984,0.1,0.1235734989630088,351.94292074099985,True,False
152,1310.0,779,91763,0.1,0.13661022868353068,354.6356212449998,True,False
153,1200.0,897,92660,0.1,0.10553803083797296,357.9090465789998,True,False
154,740.0,524,93184,0.1,0.10288505276082126,360.18842559199993,True,False
155,680.0,598,93782,0.1,0.09050961233825491,362.26306245399996,True,False
156,810.0,586,94368,0.1,0.10423960265557781,364.30139153899995,True,False
157,1290.0,641,95009,0.1,0.1280524495872669,366.5289822789998,True,False
158,840.0,608,95617,0.1,0.10015082067662948,368.6115829409998,True,False
159,400.0,423,96040,0.1,0.11954630417573564,370.4228340719999,True,False
160,580.0,533,96573,0.1,0.1195083208158052,372.75489559699986,True,False
161,630.0,765,97338,0.1,0.10826246848047091,375.37714696499984,True,False
162,690.0,495,97833,0.1,0.12203994220603377,377.1119658769999,True,False
163,1670.0,1027,98860,0.1,0.1110807880106951,380.59560752699986,True,False
164,710.0,445,99305,0.1,0.11565349071479596,382.3057324959998,True,False
165,720.0,622,99927,0.1,0.1123254124375601,385.06604186999994,True,False
166,910.0,650,100577,0.1,0.10269864440604222,387.3547275249998,True,False
167,690.0,618,101195,0.1,0.10237937819744859,389.48404108499994,True,False
168,580.0,571,101766,0.1,0.09827478158359344,391.47998626799995,True,False
169,680.0,569,102335,0.1,0.12348145152061758,393.5071222109998,True,False
170,1910.0,1061,103396,0.1,0.10917469942452092,397.72603657599984,True,False
171,1050.0,473,103869,0.1,0.1347354672201988,399.41138626199995,True,False
172,460.0,461,104330,0.1,0.1025004272389671,401.03921962999993,True,False
173,1060.0,569,104899,0.1,0.10607847478240728,403.0472183029999,True,False
174,940.0,733,105632,0.1,0.1191319492696177,405.597672055,True,False
175,370.0,433,106065,0.1,0.11587218555656296,407.16067193899994,True,False
176,500.0,444,106509,0.1,0.1333358635840652,411.7180837259998,True,False
177,370.0,425,106934,0.1,0.12947299357784806,413.2056657549999,True,False
178,1400.0,764,107698,0.1,0.10535366572829753,415.85587164899994,True,False
179,420.0,433,108131,0.1,0.09808271599036676,417.42986847299994,True,False
180,350.0,462,108593,0.1,0.10880739864861143,419.0666765179999,True,False
181,980.0,636,109229,0.1,0.11369125258013513,421.659855378,True,False
182,300.0,418,109647,0.1,0.12601824457613894,423.41071250999994,True,False
183,530.0,493,110140,0.1,0.12849012607588403,425.14351880899994,True,False
184,1620.0,868,111008,0.1,0.10460649130325164,428.09413458899985,True,False
185,490.0,472,111480,0.1,0.10611003417900558,429.79596208299995,True,False
186,300.0,410,111890,0.1,0.11407354147191726,431.26577125099993,True,False
187,360.0,545,112435,0.1,0.10205172118730843,433.4410664459999,True,False
188,1440.0,640,113075,0.1,0.110926132730674,436.11402925699986,True,False
189,1290.0,791,113866,0.1,0.11226415169434716,438.84049652299996,True,False
190,290.0,523,114389,0.1,0.1137318566142944,440.6877885409999,True,False
191,360.0,472,114861,0.1,0.09891624982326717,442.391919509,True,False
192,400.0,413,115274,0.1,0.11963883161689472,443.88712979799993,True,False
193,690.0,546,115820,0.1,0.108275278818107,446.08897854099996,True,False
194,1030.0,638,116458,0.1,0.12084331170146195,448.6845997549999,True,False
195,780.0,675,117133,0.1,0.10869608936313341,451.0210195559998,True,False
196,1090.0,743,117876,0.1,0.09837830489781756,453.58458800799986,True,False
197,890.0,772,118648,0.1,0.09360604628032662,456.2206805609999,True,False
198,2180.0,726,119374,0.1,0.0825701621746984,459.01348033499994,True,False
199,730.0,549,119923,0.1,0.09475548491969596,461.239906647,True,False
200,2230.0,970,120893,0.1,0.10988460534823284,464.5336889839998,True,False
201,850.0,631,121524,0.1,0.08896400422282234,468.8164950109999,True,False
202,340.0,450,121974,0.1,0.11002409330103546,470.5715558579998,True,False
203,220.0,322,122296,0.1,0.09810890818451658,472.278413968,True,False
204,240.0,313,122609,0.1,0.08571319098178393,473.58132080199994,True,False
205,1110.0,734,123343,0.1,0.11535979126442651,476.13176458299995,True,False
206,710.0,682,124025,0.1,0.11784259327932407,478.57411945599983,True,False
207,760.0,528,124553,0.1,0.10540362427744901,480.4028370059998,True,False
208,330.0,435,124988,0.1,0.10918910803973948,481.936230906,True,False
209,660.0,717,125705,0.1,0.1141335667532416,484.97627498099996,True,False
210,1230.0,867,126572,0.1,0.11206974132492932,487.9446140829998,True,False
211,440.0,424,126996,0.1,0.11391903337020919,489.44293631899995,True,False
212,630.0,621,127617,0.1,0.12539545623285156,491.5889645709999,True,False
213,1120.0,1022,128639,0.1,0.10499415746068254,495.00047968299987,True,False
214,350.0,388,129027,0.1,0.08064890722024072,496.835639658,True,False
215,370.0,381,129408,0.1,0.09731356244689475,498.42787054199994,True,False
216,370.0,434,129842,0.1,0.09827626722485379,499.95266176099994,True,False
217,790.0,775,130617,0.1,0.11307955625438199,502.6089728249999,True,False
218,510.0,526,131143,0.1,0.11438811981325386,504.46185486299987,True,False
219,530.0,514,131657,0.1,0.09573048331536525,506.2573724289998,True,False
220,490.0,495,132152,0.1,0.11389869286288176,508.18932024499986,True,False
221,830.0,730,132882,0.1,0.10560187859112745,511.17645069499986,True,False
222,950.0,723,133605,0.1,0.11660186079901885,513.6762855009999,True,False
223,1790.0,1066,134671,0.1,0.09821405958146193,517.260223238,True,False
224,700.0,642,135313,0.1,0.1002599164056852,519.462506485,True,False
225,660.0,730,136043,0.1,0.08802256675866935,522.557386319,True,False
226,1230.0,1017,137060,0.1,0.08134634173749124,527.5644893949998,True,False
227,530.0,540,137600,0.1,0.0962758396372751,529.4257515339998,True,False
228,1120.0,759,138359,0.1,0.08349135920661625,531.9931557599998,True,False
229,1260.0,1048,139407,0.1,0.0753743962868195,536.1747514799999,True,False
230,780.0,606,140013,0.1,0.08011529756415832,538.282445221,True,False
231,430.0,445,140458,0.1,0.09196325430126341,539.8393591439999,True,False
232,940.0,605,141063,0.1,0.0834254217858346,541.9997203159999,True,False
233,1250.0,697,141760,0.1,0.0980002546203988,544.3977095519999,True,False
234,430.0,378,142138,0.1,0.07211532039528197,545.9703877929999,True,False
235,1240.0,851,142989,0.1,0.0932799696467572,549.3704581789998,True,False
236,510.0,537,143526,0.1,0.10580124268169279,551.268375353,True,False
237,860.0,845,144371,0.1,0.10960012084199777,554.216596236,True,False
238,1020.0,759,145130,0.1,0.1213976760836024,556.914881187,True,False
239,830.0,609,145739,0.1,0.10593507363534484,559.4707525959998,True,False
240,590.0,451,146190,0.1,0.12973144896064712,561.3937907979998,True,False
241,1360.0,872,147062,0.1,0.1198990444541661,564.4147164139999,True,False
242,1380.0,1160,148222,0.1,0.10247783045573482,568.3588563650001,True,False
243,2050.0,666,148888,0.1,0.13540267826108163,570.7385836379999,True,False
244,1160.0,756,149644,0.1,0.09853899316300475,573.895439855,True,False
245,790.0,633,150277,0.1,0.11780438375293831,576.0972445130001,True,False
246,470.0,519,150796,0.1,0.10413075275719166,577.9534124279999,True,False
247,530.0,697,151493,0.1,0.08687264295616026,580.3600549869998,True,False
248,560.0,542,152035,0.1,0.1303491955967965,582.2852819519999,True,False
249,920.0,856,152891,0.1,0.09066173506500287,585.7465784349997,True,False
250,490.0,417,153308,0.1,0.13871314149527322,587.2520726929997,True,False
251,690.0,650,153958,0.1,0.12219927445008064,592.5814966469998,True,False
252,480.0,492,154450,0.1,0.12892428488750768,594.3535609959999,True,False
253,2490.0,969,155419,0.1,0.12800800271547777,598.2553248710001,True,False
254,420.0,548,155967,0.1,0.10202854287124029,600.1684239719998,True,False
255,1880.0,978,156945,0.1,0.11783682367175209,603.498498767,True,False
256,900.0,577,157522,0.1,0.11886629094240359,605.5035860979997,True,False
257,310.0,409,157931,0.1,0.11060725214580695,606.9556635710001,True,False
258,570.0,585,158516,0.1,0.11714776976629585,609.4077418279999,True,False
259,240.0,388,158904,0.1,0.10647505472807847,611.120473595,True,False
260,1450.0,769,159673,0.1,0.11016898929180267,613.7070019829998,True,False
261,350.0,426,160099,0.1,0.11136226055546189,615.230887145,True,False
262,710.0,699,160798,0.1,0.11196053027574505,617.5909940880001,True,False
263,1470.0,902,161700,0.1,0.1135482058522448,620.7158710869999,True,False
264,630.0,554,162254,0.1,0.1211198187176732,623.4861946030001,True,False
265,500.0,451,162705,0.1,0.08896733256699764,625.1928846649998,True,False
266,730.0,594,163299,0.1,0.1073044711673582,627.2574627079998,True,False
267,690.0,592,163891,0.1,0.09861105529440416,629.3586684759998,True,False
268,780.0,714,164605,0.1,0.11675105525919512,631.9168333909997,True,False
269,410.0,383,164988,0.1,0.090255650129014,633.362984634,True,False
270,510.0,544,165532,0.1,0.12823709372348865,636.0789578919998,True,False
271,1090.0,995,166527,0.1,0.11198276490153324,639.4830657959997,True,False
272,700.0,496,167023,0.1,0.0887065315393791,641.2573296800001,True,False
273,420.0,427,167450,0.1,0.12856933686917074,642.8057531889999,True,False
